date,slot,slot_label,probability,predicted,threshold,raw_prob,CAPE_used,K_INDEX_used,model_version,issued_at
2026-07-24,0,0001-0600 IST,0.0231,0,0.24,0.0003,0.0,30.0,v3_calibrated,2026-07-24 11:12 IST
2026-07-24,1,0601-1200 IST,0.0078,0,0.38,0.0022,0.0,30.0,v3_calibrated,2026-07-24 11:12 IST
2026-07-24,2,1201-1800 IST,0.0085,0,0.16,0.0006,0.0,30.0,v3_calibrated,2026-07-24 11:12 IST
2026-07-24,3,1801-2400 IST,0.036,0,0.39,0.006,0.0,30.0,v3_calibrated,2026-07-24 11:12 IST
